,latitude_int,longitude_int,regular_mean
1,14,-92,15.95
2,15,-97,16.1
3,15,-96,15.74
4,15,-95,15.74
5,15,-93,15.73666667
6,15,-92,16.06666667
7,15,-91,16.1
8,16,-99,15.89
9,16,-98,16.1525
10,16,-97,16.1
11,16,-96,15.9
12,16,-95,15.74
13,16,-94,15.7825
14,16,-93,15.73114754
15,16,-92,15.915
16,16,-91,16.1
17,16,-90,16.1
18,17,-102,15.91
19,17,-101,16.59
20,17,-100,15.89
21,17,-99,16.015
22,17,-98,16.066
23,17,-97,15.91235294
24,17,-96,15.885
25,17,-95,15.80666667
26,17,-94,15.46578947
27,17,-93,15.59642857
28,17,-92,15.59272727
29,17,-91,15.8975
30,18,-103,16.02111111
31,18,-102,16.085
32,18,-100,16.48666667
33,18,-99,15.9425
34,18,-98,15.92685714
35,18,-97,15.7958209
36,18,-96,15.63785714
37,18,-95,15.85
38,18,-94,15.40615385
39,18,-93,15.56
40,18,-92,15.56
41,18,-91,15.65
42,18,-88,15.9
43,19,-105,16.4
44,19,-104,16.10321429
45,19,-103,16.26041667
46,19,-102,16.29685714
47,19,-101,16.18295455
48,19,-100,16.13
49,19,-99,16.2282643
50,19,-98,15.99853881
51,19,-97,15.93195652
52,19,-96,15.43402174
53,19,-90,15.65
54,20,-105,16.39416667
55,20,-104,16.46857143
56,20,-103,16.52211982
57,20,-102,16.4275
58,20,-101,16.14397727
59,20,-100,16.05699422
60,20,-99,15.97066667
61,20,-98,15.80626866
62,20,-97,15.51941176
63,20,-96,15.635
64,20,-89,15.42
65,20,-88,15.42
66,20,-87,15.9
67,21,-105,16.25909091
68,21,-104,16.34575758
69,21,-103,16.25
70,21,-102,16.24841463
71,21,-101,16.09897436
72,21,-100,15.976
73,21,-99,15.96105263
74,21,-98,15.945625
75,21,-97,15.52833333
76,21,-89,15.40628571
77,21,-88,15.83
78,21,-86,15.9
79,22,-109,16
80,22,-105,16.165
81,22,-104,16.4
82,22,-103,16.20666667
83,22,-102,16.14755102
84,22,-101,15.924
85,22,-100,15.82491525
86,22,-99,15.99
87,22,-98,15.62857143
88,22,-97,15.37
89,23,-109,16
90,23,-106,15.94
91,23,-105,16.27
92,23,-104,16.27
93,23,-103,16.24666667
94,23,-102,16.11
95,23,-100,15.96833333
96,23,-99,15.64
97,23,-98,15.64
98,24,-110,16
99,24,-109,16
100,24,-107,16.23545455
101,24,-104,16.27
102,24,-103,16.32
103,24,-101,16.4
104,24,-100,15.97333333
105,24,-99,16.18666667
106,24,-98,15.64
107,25,-111,16
108,25,-109,15.94
109,25,-108,16.13375
110,25,-107,16.2775
111,25,-105,16.35
112,25,-103,16.1384375
113,25,-102,16.27
114,25,-101,15.98
115,25,-100,16.24247126
116,25,-99,16.26538462
117,25,-98,15.218
118,25,-97,15.8
119,26,-113,16.56
120,26,-111,16
121,26,-109,16.16555556
122,26,-108,16.09
123,26,-107,16.54
124,26,-106,16.47666667
125,26,-105,16.31863636
126,26,-103,16.13
127,26,-102,16.46
128,26,-101,16.03
129,26,-100,16.46
130,26,-99,15.98166667
131,26,-98,14.87409091
132,27,-114,16.56
133,27,-113,16.56
134,27,-111,15.92
135,27,-110,15.96923077
136,27,-109,16.13410256
137,27,-107,16.54
138,27,-105,16.19
139,27,-104,16.35
140,27,-101,16.20105263
141,27,-100,16.46
142,27,-99,16.03
143,28,-111,16.01333333
144,28,-110,16.06
145,28,-108,16.31
146,28,-107,16.12
147,28,-106,16.12
148,28,-105,16.12
149,28,-103,16.46
150,28,-100,15.65375
151,29,-111,16.06
152,29,-110,16.06
153,29,-109,16.38
154,29,-108,16.12
155,29,-107,16.54
156,29,-106,16.33
157,29,-104,13.27
158,29,-100,15.92666667
159,30,-115,16.16
160,30,-112,16.44833333
161,30,-111,16.1875
162,30,-110,16.23
163,30,-109,16.54
164,30,-107,16.54
165,31,-116,16.16
166,31,-114,16.17
167,31,-113,16.54
168,31,-112,16.08
169,31,-110,16.23
170,31,-109,16.23
171,31,-106,15.71
172,32,-117,16.04
173,32,-116,16.05230769
174,32,-115,16.17
175,32,-114,16.17
