,d_estado,regular_count,regular_mean,premium_count,premium_mean
0,Aguascalientes,116,16.209655172413793,116,17.973620689655174
1,Baja California,316,16.127373417721518,316,17.902215189873417
2,Baja California Sur,101,16.075841584158418,101,17.83762376237624
3,Campeche,43,15.693023255813955,43,17.464418604651165
4,Chiapas,214,15.857383177570094,214,17.62766355140187
5,Chihuahua,281,16.088362989323844,281,18.094839857651245
6,Ciudad de México,289,16.312006920415225,289,18.18121107266436
7,Coahuila de Zaragoza,281,16.032384341637012,281,17.823274021352315
8,Colima,89,16.0638202247191,89,17.827303370786517
9,Durango,127,16.25700787401575,127,18.03291338582677
10,Guanajuato,409,16.10039119804401,409,17.874547677261614
11,Guerrero,141,16.097375886524823,141,17.86234042553191
12,Hidalgo,206,15.859126213592234,206,17.61728155339806
13,Jalisco,664,16.46737951807229,664,18.31843373493976
14,Michoacán de Ocampo,341,16.23741935483871,341,18.007712609970675
15,Morelos,112,15.915714285714285,112,17.685714285714287
16,México,716,16.18263966480447,716,18.013784916201114
17,Nayarit,96,16.332291666666666,96,18.104583333333334
18,Nuevo León,407,16.298746928746926,407,18.16992628992629
19,Oaxaca,166,15.878674698795182,166,17.648614457831325
20,Puebla,388,15.86520618556701,388,17.63520618556701
21,Querétaro,173,16.04092485549133,173,17.811040462427744
22,Quintana Roo,63,15.875238095238094,63,17.645238095238096
23,San Luis Potosí,173,15.866763005780346,173,17.724104046242775
24,Sinaloa,337,16.1413353115727,337,17.91347181008902
25,Sonora,373,16.154959785522788,373,17.96
26,Tabasco,132,15.593712121212121,132,17.36886363636364
27,Tamaulipas,321,15.689252336448599,321,17.435264797507788
28,Tlaxcala,82,15.86390243902439,82,17.63390243902439
29,Veracruz de Ignacio de la Llave,493,15.539208924949289,493,17.31290060851927
30,Yucatán,193,15.4419689119171,193,17.2119689119171
31,Zacatecas,129,16.204961240310077,129,17.993643410852712
